,description,Address,Price,Bedroom,Bathroom,Toilet,date,State,Location
5735,4 Bedroom Semi Detached Duplex With A Self Contained Room, River Valley Estate Ojodu Ikeja Lagos ,90000000,4,4,4,2023-05-27,Lagos,Ikeja
5736,Luxury 7 Bedroom Detached Duplex With 2 Room Bq, Royal Gardens Estate Ajah Lagos ,500000000,7,7,7,2023-05-27,Lagos,Ajah
5737,4 And 5 Bedroom Terrace Duplex, Ikate Elegushi Lekki Lagos ,125000000,4,4,4,2023-05-27,Lagos,Lekki
5738,Luxury And Tastefully Finished 4 Bedroom Semi Detached Duplex With Bq, Maryland Ikeja Lagos ,160000000,4,4,4,2023-05-27,Lagos,Ikeja
5739,3 Units Of 3 Bedroom Terrace Duplex, Apo By Chrisland Schools Apo Abuja Phase 2 Abuja ,45000000,3,3,3,2023-05-27,Abuja,2
5740,Spacious 5 Bedroom Fully Fetched Duplex, Ajah Lagos ,120000000,5,5,5,2023-05-27,Lagos,Ajah
5741,Spacious 5 Bedroom Semi Detached Duplex, 2nd Tolll Gate Ikota Lekki Lagos ,120000000,5,5,5,2023-05-27,Lagos,Lekki
5742,A Luxurious Furnished 6 Bedroom Waterview Detached Duplex With State Of The Art Facilities, Shoreline Estate Ikoyi Lagos ,-2147483648,6,6,6,2023-05-27,Lagos,Ikoyi
5743,Spacious Contemporary Brand New 4 Bedroom Semi Detached Duplex Plus A Bq, Abraham Adesanya Ajah Lagos ,80000000,4,4,4,2023-05-27,Lagos,Ajah
5744,Well Built To Taste Luxury 4bedroom Semi Detached Duplex With A Room Bq, Adeniyi Jones Ikeja Lagos ,100000000,4,4,4,2023-05-27,Lagos,Ikeja
5745,Beautiful 4 Bedroom Detached, Millenuim Estate Gbagada Lagos ,220000000,4,4,4,2023-05-27,Lagos,Gbagada
5746,Contemporary 5bedroom Fully Detached Duplex, Osapa Lekki Lagos ,250000000,5,5,5,2023-05-27,Lagos,Lekki
5747,"Distress, Neat And Classy 4 Bedroom Semidetached Duplex With Bq", Lekki Phase 1 Right Hand Side Lekki Phase 1 Lekki Lagos ,120000000,4,4,4,2023-05-27,Lagos,Lekki
5748,Fantastic 5 Bedroom Fully Finished Detached Duplex With Swimming Pool And Bq, Ikota Lekki Lagos ,210000000,5,0,0,2023-05-27,Lagos,Lekki
